symbol,shares,avg_cost,stop_price,note
AMZN,5.0,237.367,,
APP,11.0,390.921,,
AVGO,11.0,407.651818,,
INTC,9.0,106.2522,,
LITE,2.0,818.62,,
MU,5.02918,990.7924,,整股+碎股
VOO,7.21215,575.1317,,定期定額
VRT,13.0,312.0877,,
CEG,12.0,253.2108,,
CRWD,6.0,197.1233,,
SKHY,13.0,170.8985,,
GOOG,3.0,318.67,,
ARM,3.22338,248.3848,,
IBM,2.0,220.475,,
AMD,3.0,457.6667,,
DDOG,8.0,262.51,,
TTWO,7.0,236.6072,,
QCOM,4.0,163.93,,
META,2.71163,578.1945,,
GLW,1.0,163.43,,
AMAT,0.88642,488.8713,,
ASTS,3.0,66.3533,,
ALAB,3.0,290.8,,
